example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,N,S
1,20.645,0.663,8.135,Y,S
2,56.386,59.952,151.856,T,T
4,89.489,44.919,219.296,T,T
6,122.379,65.834,157.911,T,T
7,116.934,44.551,194.769,T,T
8,376.195,114.927,223.877,T,T
9,0,0,0,N,S
10,0,0,0,N,S
11,0,0,0,N,S
12,0,0,0,N,S
13,0,0,0,N,S
15,93.93,43.101,188.725,T,T
21,53.775,37.827,143.69,T,T
22,49.042,98.177,129.779,T,T
23,49.239,96.638,130.698,T,T
24,43.121,53.356,158.406,T,T
25,224.346,147.123,152.883,T,T
26,224.422,146.247,152.76,T,T
27,58.648,32.864,170.192,T,T
29,48.728,1.82,17.96,Y,S
30,15.164,0.504,8.745,Y,S
31,871.442,331.713,197.569,T,T
32,89.044,83.45,153.318,T,T
34,66.944,33.31,172.595,T,T
35,0,0,0,N,S
36,20.766,0.531,6.959,Y,S
38,21.429,19.611,151.632,T,T
39,0,0,0,N,S
40,0,0,0,N,S
42,0,0,0,N,S
43,0,0,0,N,S
46,116.786,52.004,195.033,T,T
47,0,0,0,N,S
48,0,0,0,N,S
49,0,0,0,N,S
50,10.772,6.124,121.982,T,T
51,50.169,53.342,144.718,T,T
52,37.487,1.29,7.504,Y,S
53,0,0,0,N,S
55,34.383,0.58,8.957,Y,S
57,70.52,0.821,8.916,Y,S
58,2.588,0.467,6.514,Y,S
59,0,0,0,N,S
60,0,0,0,N,S
61,70.97,0.985,8.859,Y,S
62,29.929,56.689,124.809,T,T
63,0,0,0,N,S
65,0,0,0,N,S
66,50.622,52.05,133.308,T,T
67,123.694,86.985,150.186,T,T
68,124.253,65.983,156.443,T,T
70,0,0,0,N,S
71,34.842,10.66,161.029,T,T
72,57.258,58.426,147.869,T,T
73,94.488,45.974,196.653,T,T
74,76.427,62.73,173.145,T,T
75,29.103,41.718,126.029,T,T
78,40.808,26.927,171.9,T,T
79,0,0,0,N,S
80,31.79,23.342,156.706,T,T
81,57.491,78.887,136.913,T,T
82,93.973,98.402,152.639,T,T
83,56.292,1.34,16.054,Y,S
84,29.353,37.929,123.191,T,T
85,124.993,81.485,155.168,T,T
86,51.714,33.663,150.13,T,T
87,0,0,0,N,S
88,58.369,56.019,152.824,T,T
89,0,0,0,N,S
90,0,0,0,N,S
93,38.276,31.362,139.017,T,T
94,33.426,23.892,153.928,T,T
95,0,0,0,N,S
96,21.323,19.181,158.067,T,T
97,56.663,31.732,137.302,T,T
98,39.482,18.361,159.806,T,T
99,121.664,74.478,154.383,T,T
100,46.604,32.973,171.865,T,T
101,121.943,12.087,152.041,T,T
102,27.787,22.823,150.823,T,T
103,22.026,19.11,159.691,T,T
104,29.677,7.835,163.374,T,T
105,51.843,45.591,149.666,T,T
106,16.96,15.649,155.962,T,T
107,48.28,39.333,177.617,T,T
108,26.664,19.679,155.011,T,T
109,28.523,27.328,150.705,T,T
112,29.863,66.644,120.012,T,T
113,0,0,0,N,S
115,21.068,0.524,6.542,Y,S
116,114.968,62.338,169.257,T,T
117,0,0,0,N,S
119,0,0,0,N,S
120,0,0,0,N,S
121,91.626,49.619,173.722,T,T
122,0,0,0,N,S
123,0,0,0,N,S
125,0,0,0,N,S
126,56.985,63.715,142.16,T,T
127,34.46,2.493,8.364,Y,S
129,137.821,73.316,171.391,T,T
131,0,0,0,N,S
132,71.892,1.982,19.756,Y,S
133,81.261,1.647,34.016,Y,S
136,104.636,57.398,153.691,T,T
140,0,0,0,N,S
144,311.143,164.159,176.285,T,T
146,1399.041,27.801,1591.391,T,T
147,2817.339,53.938,3039.46,T,T
148,9.65,0.483,12.601,Y,S
149,3.572,0.466,10.07,Y,S
150,12.138,0.807,15.242,Y,S
151,14.238,0.576,12.94,Y,S
152,18.679,7.851,242.806,T,T
153,40.598,4.289,84.005,Y,S
154,58.404,60.596,154.012,T,T
155,46.485,34.941,234.722,T,T
156,59.08,61.08,133.337,T,T
157,29.447,17.05,125.729,Y,S
158,6.561,0.483,13.594,Y,S
159,3.763,0.474,8.276,Y,S
160,5.962,0.476,14.123,Y,S
161,109.648,85.08,282.702,T,T
162,17.383,0.564,15.292,Y,S
163,8.102,0.482,9.286,Y,S
164,23.496,2.737,35.151,Y,S
165,11.654,0.492,7.297,Y,S
166,14.426,1.087,28.179,Y,S
167,3.592,0.494,12.551,Y,S
168,37.192,0.545,8.221,Y,S
169,49.791,150.786,136.083,T,T
170,21.067,22.039,147.577,T,T
171,24.788,0.578,7.837,Y,S
