example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,N,S
1,210.635,122.554,1137.147,Y,S
2,596.946000000001,850.557999999999,2455.597,Y,S
4,2653.411,1311.216,40528.31,T,T
6,1523.781,2575.2,7506.685,T,T
7,3024.574,2061.993,7692.539,T,T
8,6695.352,4863.245,11762.605,T,T
9,0,0,0,N,S
10,0,0,0,N,S
11,0,0,0,N,S
12,0,0,0,N,S
13,0,0,0,N,S
15,2940.963,1411.595,23382.795,T,T
21,531.659000000001,1127.883,5215.326,T,T
22,1504.859,5224.343,8304.472,T,T
23,1482.48,5176.42399999999,8488.91799999999,T,T
24,431.526,975.868,6037.952,T,T
25,3991.13900000001,2231.179,25032.596,T,T
26,4290.252,2258.066,26521.731,T,T
27,14791.0360000001,12644.539,191786.318,T,T
29,90.926,6.55,66.264,Y,S
30,103.041,32.908,550.394,Y,S
31,2405.684,3135.164,8714.518,T,T
32,2130.012,3099.15799999999,25475.838,T,T
34,7948.80900000001,5317.22999999999,70087.2230000001,T,T
35,0,0,0,N,S
36,48.567,1.527,25.519,Y,S
38,2944.06200000001,4506.241,53400.8210000002,T,T
39,0,0,0,N,S
40,0,0,0,N,S
42,0,0,0,N,S
43,0,0,0,N,S
46,3122.223,3411.158,7967.939,T,T
47,0,0,0,N,S
48,0,0,0,N,S
49,0,0,0,N,S
50,78.666,84.2250000000001,2566.691,T,T
51,493.983,818.115000000001,2815.102,Y,S
52,81.494,1.709,26.565,Y,S
53,0,0,0,N,S
55,409.245,95.3320000000001,1614.483,Y,S
57,367.658,54.637,469.283,Y,S
58,6.409,1.262,23.384,Y,S
59,0,0,0,N,S
60,0,0,0,N,S
61,146.855,2.824,28.305,Y,S
62,77.928,225.905,495.425,T,S
63,0,0,0,N,S
65,0,0,0,N,S
66,516.355000000001,704.091,3029.513,Y,S
67,1521.515,1282.76,5827.167,Y,S
68,2053.245,1460.125,25972.677,Y,T
70,0,0,0,N,S
71,454.418999999999,259.326,8255.193,T,T
72,644.675999999999,915.537,3528.026,Y,S
73,1875.583,233.013,1011.112,Y,S
74,1386.601,1338.611,13148.63,T,T
75,800.995999999998,2329.456,8361.111,T,T
78,2226.20499999999,3028.48000000001,40658.742,T,T
79,0,0,0,N,S
80,2411.34500000001,3754.201,36356.1079999999,T,T
81,559.496000000001,1378.754,4381.537,T,T
82,5793.58200000001,9128.42900000001,51511.7709999999,T,T
83,454.81,243.312,1099.789,Y,S
84,1361.51199999999,4856.137,8423.163,T,T
85,2666.676,2596.495,26293.268,T,T
86,5839.37400000001,7625.51899999999,28390.206,T,T
87,0,0,0,N,S
88,3849.509,4016.435,25923.234,T,T
89,0,0,0,N,S
90,0,0,0,N,S
93,369.776,623.599,4745.101,T,T
94,1035.774,1337.707,12746.533,T,T
95,0,0,0,N,S
96,2973.72999999999,4586.626,52936.549,T,T
97,578.540000000001,1453.679,5111.569,T,T
98,5097.36700000001,6630.43500000001,52916.312,T,T
99,2857.936,2165.772,25091.141,T,T
100,8535.46799999996,7677.82399999999,262467.062,T,V
101,1536.546,370.779,6651.418,T,T
102,3239.857,4679.875,53216.5979999999,T,T
103,2896.22700000001,4484.87199999999,52576.939,T,T
104,439.540000000001,255.269,7850.18199999999,T,T
105,1065.25,1799.325,8696.803,T,T
106,2215.46,3937.71,52354.204,T,T
107,7282.95499999998,6654.88799999998,229488.585,T,T
108,1158.049,1232.534,35722.586,T,T
109,2841.871,3897.69,35866.337,T,T
112,208.701,931.114,2438.772,T,T
113,0,0,0,N,S
115,48.649,1.524,24.864,Y,S
116,1451.442,1391.141,9996.70800000001,T,T
117,0,0,0,N,S
119,0,0,0,N,S
120,0,0,0,N,S
121,0,0,0,N,S
122,0,0,0,N,S
123,0,0,0,N,S
125,0,0,0,N,S
126,579.474000000001,1502.832,4109.299,Y,S
127,306.207,292.911,1030.725,Y,S
129,8596.63100000001,7510.813,73310.517,T,T
131,0,0,0,N,S
132,138.177,7.128,72.747,Y,S
133,148.551,6.115,127.873,Y,S
136,1328.024,1552.302,7521.464,T,T
140,0,0,0,N,S
144,1148.448,775.134,1220.21,Y,S
146,922.299,73.415,6238.799,T,S
147,1962.664,126.275,10626.822,T,S
148,129.61,43.91,1541.776,Y,S
149,8.352,1.491,46.377,Y,S
150,25.188,1.321,26.016,Y,S
151,149.2,53.308,1656.94,Y,S
152,11.226,1.323,28.394,Y,S
153,446.685,185.727,2771.976,Y,S
154,99.034,155.617,341.03,T,S
155,1031.579,1564.064,17392.859,Y,S
156,563.701,595.463,2115.829,Y,S
157,209.74,144.651,1664.524,Y,S
158,125.59,111.372,1931.332,Y,S
160,14.117,1.467,53.844,Y,S
161,1692.13,892.353,28663.355,T,T
163,19.435,1.389,30.049,Y,S
164,315.394,223.008,1787.755,Y,S
165,25.163,1.353,25.05,Y,S
166,295.158,115.21,1950.963,Y,S
167,46.997,25.262,560.958,Y,S
168,85.087,1.65,29.88,Y,S
169,353.111,2105.687,3387.073,T,T
170,3978.999,5840.06999999999,51669.7280000001,T,T
171,141.689,115.055,552.99,Y,S
