example,time_sampling,time_training,time_Z3,result,lastPhase,
0,258.999,401.915,1090.295,42.214,Y,S
1,339.847,559.621999999999,2116.382,78.638,T,T
2,281.472,205.467,719.719,29.084,T,T
3,179.329,96.355,894.423,38.735,Y,S
4,182.893,95.647,877.147,37.606,Y,S
5,142.059,120.664,665.954,25.817,T,T
6,161.278,121.205,666.009,26.118,T,T
7,0,0,0,12.709,N,S
8,125.749,77.185,686.308,29.073,Y,S
9,129.465,89.706,728.47,26.457,Y,S
10,273.242,140.889,837.628,36.453,Y,S
11,0,0,0,12.316,N,S
12,0,0,0,12.285,N,S
13,0,0,0,13.068,N,S
14,0,0,0,12.497,N,S
15,0,0,0,12.331,N,S
16,142.298,126.013,725.945,26.408,T,T
17,247.194,784.588,1087.804,46.499,T,T
18,243.979,349.561,1085.711,42.318,Y,S
19,451.311,643.758,2132.709,77.994,T,T
20,57.594,81.48,619.464,27.985,Y,S
21,217.567,437.239,1210.967,43.685,Y,S
22,19.512,0.818,13.59,10.513,Y,S
23,419.192,548.053,3311.098,63.699,T,T
24,0,0,0,13.277,N,S
25,228.351,194.231,1089.35,43.365,Y,S
26,0,0,0,12.899,N,S
27,0,0,0,12.344,N,S
28,246.064,266.984,1119.28,43.147,Y,S
29,0,0,0,13.003,N,S
30,677.486,638.602,3438.759,123.123,T,T
31,801.412,498.129,3579.366,125.73,T,T
32,342.496,244.937,2334.871,82.851,Y,S
33,124.621,85.312,710.053,26.552,T,T
34,157.228,119.412,670.386,26.048,T,T
35,146.194,542.942,1250.661,34.558,T,T
36,0,0,0,15.111,N,S
37,0,0,0,0,T,S
38,408.05,317.036,2122.504,55.388,T,T
39,153.091,615.809,1208.017,34.014,T,T
40,0,0,0,13.943,N,S
41,1024.367,1178.178,2913.209,94.544,T,T
42,617.182,681.7,2407.302,101.378,T,T
43,583.295999999999,1049.906,3314.102,99.234,T,T
44,729.867,1269.403,1971.154,78.484,T,T
45,186.456,646.586,1029.521,47.282,T,T
46,0,0,0,13.177,N,S
47,251.989,798.682,1051.84,46.175,T,T
48,0,0,0,16.219,N,S
49,91.763,50.772,902.797,36.034,T,T
50,277.27,189.365,942.155,36.194,Y,S
51,303.906,503.556,2132.973,78.856,T,T
52,869.424,887.174,3435.813,125.203,T,T
53,248.823,792.66,1069.536,46.597,T,T
54,491.645,370.051,3140.27,116.313,T,T
55,254.762,57.766,770.528,37.228,Y,S
56,426.914,242.125,2835.134,94.222,T,T
57,411.436,375.272,2180.368,78.207,T,T
58,32.96,0.94,17.645,10.823,Y,S
59,40.558,0.903,15.251,12.136,Y,S
60,71.383,21.994,584.358,40.249,Y,S
61,216.614,344.591,1097.617,43.227,Y,S
62,1090.396,518.115,2666.089,85.865,T,T
63,328.515,409.774,2500.311,101.935,T,T
64,190.053,652.182,1031.009,46.607,T,T
65,251.045,807.914,1060.462,46.48,T,T
66,264.012,380.274,2116.297,53.941,T,T
67,790.856000000001,1256.021,2507.491,99.728,T,T
68,168.508,571.676,1093.188,47.434,T,T
69,185.725,658.687,1011.416,45.664,T,T
70,0,0,0,12.365,N,S
71,252.213,807.456,1064.808,46.245,T,T
72,442.031,355.655,2214.19,75.844,T,T
73,172.595,162.099,645.999,26.467,Y,S
74,172.967,164.463,647.911,27.393,Y,S
75,283.117,197.898,893.341,36.468,Y,S
76,288.698,262.565,2327.172,78.725,Y,S
77,166.705,202.406,565.906,27.158,Y,S
78,171.361,158.325,636.757,26.57,Y,S
79,152.905,54.56,577.923,38.576,Y,S
80,164.437,186.205,562.09,27.613,Y,S
81,288.654,141.461,839.416,34.935,Y,S
82,19.244,0.92,13.482,10.465,Y,S
83,335.56,292.666,1977.757,73.593,Y,S
84,454.313,166.173,3539.708,116.618,T,T
85,64.704,1.25,17.849,11.064,Y,S
86,24.626,0.949,12.753,10.501,Y,S
87,77.3920000000001,243.208,1568.217,42.394,T,T
88,154.152,534.811,1202.225,34.637,T,T
89,0,0,0,0,T,S
90,0,0,0,13.31,N,S
91,24.889,0.964,12.498,10.359,Y,S
92,21.923,0.918,12.594,10.364,Y,S
93,91.3100000000001,270.074,1212.285,33.628,T,T
94,187.751,690.905,1039.005,47.735,T,T
95,0,0,0,13.35,N,S
96,0,0,0,13.301,N,S
97,256.962,808.46,1052.121,45.793,T,T
,21826.207,28824.217,105426.713,4184.762,,
,21.826207,28.824217,105.426713,4.184762,160.261899,
