example,time_sampling,time_training,time_Z3,result,lastPhase
0,191.848,63.51,165.851,9.564,Y,S
1,928.76,718.509,797.746,18.007,T,T
2,970.909,224.39,898.565,20.253,T,T
3,29.997,1.118,17.957,5.876,Y,S
4,29.852,1.19,17.837,5.715,Y,S
5,1504.561,490.955,876.757,19.563,T,T
6,1499.018,506.999,939.745,19.647,T,T
7,0,0,0,7.162,N,S
8,31.607,5.317,64.248,5.757,Y,S
9,325.506,54.264,446.826,14.177,Y,S
10,47.282,0.629,8.639,5.505,Y,S
11,0,0,0,6.91,N,S
12,0,0,0,7.155,N,S
13,0,0,0,6.855,N,S
14,0,0,0,6.899,N,S
15,0,0,0,6.902,N,S
16,317.925,66.455,263.053,10.226,Y,S
17,776.813,1185.274,595.75,17.251,T,T
18,174.442,82.091,247.435,9.744,Y,S
19,792.673,587.647,764.975,18.089,T,T
20,9.44,2.769,31.705,5.733,Y,S
21,394.541,178.954,364.117,14.011,Y,S
22,18.678,1.257,23.728,5.668,Y,S
23,1230.053,289.796,675.953,19.969,T,T
24,0,0,0,7.377,N,S
25,0,0,0,0,T,S
26,0,0,0,7.152,N,S
27,0,0,0,6.914,N,S
28,803.388,256.56,757.909,17.716,T,T
29,0,0,0,7.236,N,S
30,219.692,62.019,248.06,9.894,Y,S
31,156.422,25.777,208.835,10.317,Y,S
32,141.594,36.466,213.343,10.208,Y,S
33,260.739,84.633,529.92,10.665,Y,S
34,1487.595,490.679,940.396,19.569,T,T
35,737.316,1258.195,571.033,20.893,T,T
36,0,0,0,7.252,N,S
37,0,0,0,0,T,S
38,1392.098,790.701,640.204,21.712,T,T
39,773.361,1370.339,559.92,20.775,T,T
40,0,0,0,7.851,N,S
41,1884,949.649,811.353,19.013,T,T
42,1457.495,998.206,814.24,21.852,T,T
43,754.522,642.6,776.763,18.114,T,T
44,1282.587,986.774,771.189,18.675,T,T
45,442.364,534.1,505.551,18.01,T,T
46,0,0,0,7.174,N,S
47,783.456,1202.351,613.084,17.345,T,T
48,0,0,0,8.79,N,S
49,963.306,161.234,1167.568,23.608,T,T
50,54.81,3.073,52.289,5.631,Y,S
51,818.034,596.498,785.338,18.058,T,T
52,1087.469,465.621,1085.817,18.803,T,T
53,780.228,1192.352,624.721,17.746,T,T
54,1081.146,260.664,842.06,18.297,T,T
55,43.239,0.853,8.767,5.721,Y,S
56,1088.515,313.629,914.94,19.186,T,T
57,1212.237,895.807,865.572,22.286,T,T
58,35.176,0.579,9.721,5.837,Y,S
59,36.862,0.557,8.672,6.487,Y,S
60,14.784,0.523,9.946,7.758,Y,S
61,169.885,82.472,239.463,9.777,Y,S
62,973.835,178.411,647.046,18.239,T,T
63,476.949,275.784,1033.779,18.79,T,T
64,443.981,383.353,505.032,17.951,T,T
65,782.164,1201.751,607.188,16.939,T,T
66,897.522,374.809,650.383,21.822,T,T
67,1350.224,1220.3,762.518,18.051,T,T
68,445.659,455.589,684.715,17.655,T,T
69,455.722,637.357,504.788,17.694,T,T
70,0,0,0,7.204,N,S
71,789.631,1202.794,610.014,17.31,T,T
72,1456.283,1169.53,870.756,21.82,T,T
73,41.918,14.25,61.584,5.512,Y,S
74,832.219,307.872,820.52,18.198,T,T
75,53.274,6.243,35.231,5.729,Y,S
76,766.742,228.381,880.72,19.196,T,T
77,38.063,1.974,15.396,5.487,Y,S
78,796.285,309.759,795.82,18.401,T,T
79,37.944,0.57,9.83,7.642,Y,S
80,36.912,0.599,7.683,5.484,Y,S
81,47.249,0.639,8.633,5.532,Y,S
82,17.284,0.533,7.858,5.556,Y,S
83,793.618,227.25,891.091,19.204,T,T
84,1060.953,203.011,1023.463,22.864,T,T
85,70.338,0.739,9.883,6.015,Y,S
86,20.873,0.548,6.485,5.269,Y,S
87,404.471,164.406,654.176,25.136,T,T
88,773.164,1325.31,544.287,20.246,T,T
89,0,0,0,0,T,S
90,0,0,0,7.184,N,S
91,21.678,0.558,6.74,5.383,Y,S
92,18.975,0.559,6.669,5.331,Y,S
93,459.029,320.686,565.713,20.512,T,T
94,18.41,0.542,6.61,5.341,Y,S
95,0,0,0,7.234,N,S
96,0,0,0,7.331,N,S
97,776.105,1202.713,603.777,16.948,T,T
