example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,0,T,S
1,0,0,0,0,T,S
2,0,0,0,0,T,S
3,0,0,0,0,T,S
4,0,0,0,0,T,S
5,0,0,0,0,T,S
6,0,0,0,0,T,S
7,0,0,0,0,T,S
8,0,0,0,0,T,S
9,0,0,0,0,T,S
10,0,0,0,0,T,S
11,0,0,0,0,T,S
12,0,0,0,0,T,S
13,0,0,0,0,T,S
14,0,0,0,0,T,S
15,0,0,0,0,T,S
16,0,0,0,0,T,S
17,0,0,0,0,T,S
18,0,0,0,0,T,S
19,0,0,0,0,T,S
20,0,0,0,0,T,S
21,0,0,0,0,T,S
22,0,0,0,0,T,S
23,0,0,0,0,T,S
24,0,0,0,0,T,S
25,0,0,0,0,T,S
26,0,0,0,0,T,S
27,0,0,0,0,T,S
28,0,0,0,0,T,S
29,0,0,0,0,T,S
30,0,0,0,0,T,S
31,0,0,0,0,T,S
32,0,0,0,0,T,S
33,0,0,0,0,T,S
34,0,0,0,0,T,S
35,0,0,0,0,T,S
36,0,0,0,0,T,S
37,0,0,0,0,T,S
38,0,0,0,0,T,S
39,0,0,0,0,T,S
40,0,0,0,0,T,S
41,0,0,0,0,T,S
42,0,0,0,0,T,S
43,0,0,0,0,T,S
44,0,0,0,0,T,S
45,0,0,0,0,T,S
46,0,0,0,0,T,S
47,0,0,0,0,T,S
48,0,0,0,0,T,S
49,0,0,0,0,T,S
50,0,0,0,0,T,S
51,0,0,0,0,T,S
52,0,0,0,0,T,S
53,0,0,0,0,T,S
54,0,0,0,0,T,S
55,0,0,0,0,T,S
56,0,0,0,0,T,S
57,0,0,0,0,T,S
58,0,0,0,0,T,S
59,0,0,0,0,T,S
60,0,0,0,0,T,S
61,0,0,0,0,T,S
62,0,0,0,0,T,S
63,0,0,0,0,T,S
64,0,0,0,0,T,S
65,0,0,0,0,T,S
66,0,0,0,0,T,S
67,0,0,0,0,T,S
68,0,0,0,0,T,S
69,0,0,0,0,T,S
70,0,0,0,0,T,S
71,0,0,0,0,T,S
72,0,0,0,0,T,S
73,0,0,0,0,T,S
74,0,0,0,0,T,S
75,0,0,0,0,T,S
76,0,0,0,0,T,S
77,0,0,0,0,T,S
78,0,0,0,0,T,S
79,0,0,0,0,T,S
80,0,0,0,0,T,S
81,0,0,0,0,T,S
82,0,0,0,0,T,S
83,0,0,0,0,T,S
84,0,0,0,0,T,S
85,0,0,0,0,T,S
86,0,0,0,0,T,S
87,0,0,0,0,T,S
88,0,0,0,0,T,S
89,0,0,0,0,T,S
90,0,0,0,0,T,S
91,0,0,0,0,T,S
92,0,0,0,0,T,S
93,0,0,0,0,T,S
94,0,0,0,0,T,S
95,0,0,0,0,T,S
96,0,0,0,0,T,S
97,0,0,0,0,T,S
