example,time_sampling,time_training,time_Z3,result,lastPhase
0,580.543000000001,842.907999999999,2445.802,Y,S
1,4129.609,5373.23200000001,35902.839,T,T
2,1234.357,423.763,9292.026,T,T
3,360.183,190.813,1754.141,Y,S
4,371.425,191.26,1748.994,Y,S
5,415.189,326.132,28265.502,Y,S
6,428.602,309.913,28435.034,Y,T
7,0,0,0,N,S
8,250.085,149.065,1335.398,Y,S
9,360.141,226.082,2076.321,Y,S
10,510.766,281.015,1666.231,Y,S
11,0,0,0,N,S
12,0,0,0,N,S
13,0,0,0,N,S
14,0,0,0,N,S
15,0,0,0,N,S
16,489.475,401.269,36883.472,T,T
17,1492.571,5190.869,8542.133,T,T
18,527.28,733.360000000001,2456.203,Y,S
19,5997.956,6719.47200000002,35927.178,T,T
20,134.272,163.899,1227.205,Y,S
21,453.558,961.864,2842.561,Y,S
22,40.309,1.46,27.423,Y,S
23,941.453000000001,1340.215,8898.51299999999,T,T
24,0,0,0,N,S
25,478.177,400.468,2511.668,Y,S
26,0,0,0,N,S
27,0,0,0,N,S
28,532.717,566.382000000001,2448.294,Y,S
29,0,0,0,N,S
30,1747.937,1365.494,10376.425,Y,S
31,4767.97000000001,2496.369,48472.858,Y,S
32,780.907,571.464,5897.849,Y,S
33,411.919,288.316,30519.212,T,T
34,455.554,328.3,25267.01,Y,S
35,327.427,1102.467,3161.037,T,T
36,0,0,0,N,S
37,0,0,0,T,S
38,879.740000000001,655.423999999999,5502.915,T,T
39,336.83,1250.158,3100.209,T,T
40,0,0,0,N,S
41,4656.34800000001,7098.12799999999,34502.547,T,T
42,3678.47399999999,4841.92399999999,31064.404,T,T
43,7551.00499999999,12861.384,65809.6700000001,T,T
44,6432.50900000002,10540.947,25133.872,T,T
45,1358.669,4934.078,8087.472,T,T
46,0,0,0,N,S
47,1480.561,5222.891,8155.305,T,T
48,0,0,0,N,S
49,358.466,188.851,9184.464,T,T
50,535.502,379.562,1881.817,Y,S
51,4099.10200000002,5260.98899999998,36025.591,T,T
52,11597.9449999999,9910.69800000001,122157.618,T,T
53,1505.085,5222.749,8076.77200000001,T,T
54,2424.381,2290.796,82162.2639999999,T,T
55,501.028,117.504,1541.934,Y,S
56,3467.208,2423.241,49496.705,T,T
57,1392.484,1343.072,13141.245,T,T
58,81.864,1.582,30.953,Y,S
59,150.055,44.724,1178.46,Y,S
60,454.734000000001,727.496,2433.875,Y,S
61,2602.822,1332.358,23083.326,T,T
62,5500.35600000001,7265.39499999998,52430.9210000001,T,T
63,1352.771,5028.68499999999,8091.35400000001,T,T
64,1494.33000000001,5328.71100000001,7970.986,T,T
65,563.561000000001,849.382,5849.424,T,T
66,7856.36500000004,12585.6490000001,53459.9879999998,T,T
67,815.363999999998,2312.053,8294.02099999999,T,T
68,1433.817,5045.708,8055.813,T,T
69,0,0,0,N,S
70,1526.577,5351.282,8079.21,T,T
71,1126.835,1056.208,13553.154,T,T
72,424.612,463.017,2140.066,Y,S
73,421.644,434.921,2058.521,Y,S
74,559.603000000001,400.102,1779.895,Y,S
75,672.922,570.303,5736.216,Y,S
76,315.561,403.5,1139.723,Y,S
77,576.927,637.697,2930.512,Y,S
78,310.842,108.194,1166.041,Y,S
79,323.639,367.767,1101.255,Y,S
80,530.817,277.088,1690.585,Y,S
81,39.685,1.518,27.69,Y,S
82,746.913000000001,672.372,4742.19,Y,S
83,1604.987,617.783000000001,32804.027,T,T
84,66.356,1.676,35.176,Y,S
85,132.201,2.293,34.797,Y,S
86,47.946,1.634,24.622,Y,S
87,176.036,601.043,4035.052,T,T
88,351.009,1098.237,3030.612,T,T
89,0,0,0,T,S
90,0,0,0,N,S
91,48.822,1.663,24.545,Y,S
92,44.584,1.639,25.176,Y,S
93,202.029,556.727,3077.474,T,T
94,1365.796,5037.682,8060.851,T,T
95,0,0,0,N,S
96,0,0,0,N,S
97,1492.589,5331.23499999999,7968.23200000001,T,T
