example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,13.362,N,S
1,98.312,62.014,565.407,29.12,Y,S
2,254.337,403.795,1085.501,41.966,Y,S
4,696.426,323.214,4280.287,146.235,T,T
6,779.642999999999,1066.372,3599.217,103.039,T,T
7,529.417,602.868,722.657,27.358,T,T
8,1273.556,1396.75,899.534,30.61,T,T
9,0,0,0,12.173,N,S
10,0,0,0,13.163,N,S
11,0,0,0,12.846,N,S
12,0,0,0,12.27,N,S
13,0,0,0,11.408,N,S
15,683.121,538.293,699.116,26.337,T,T
21,246.159,470.572,2008.831,45.669,T,T
22,248.217,795.354,1077.083,47.759,T,T
23,244.77,783.959,1088.879,46.328,T,T
24,194.743,408.183,2306.557,58.321,T,T
25,1530.387,722.833,2958.839,94.621,T,T
26,1517.613,815.776,3219.454,96.732,T,T
27,1493.03,1166.729,4179.272,165.378,T,T
29,45.822,3.496,34.087,10.943,Y,S
30,51.025,16.72,276.923,19.571,Y,S
31,1070.471,1493.346,3507.92,21.515,T,T
32,483.066,607.790999999999,2062.596,77.335,T,T
34,871.052,634.684,3172.363,119.328,T,T
35,0,0,0,12.742,N,S
36,24.328,0.877,13.531,10.713,Y,S
38,219.058,313.191,2557.723,108.139,T,T
39,0,0,0,17.817,N,S
40,0,0,0,14.658,N,S
42,0,0,0,15.041,N,S
43,0,0,0,14.667,N,S
46,497.025,632.225,731.582,29.153,T,T
47,0,0,0,14.851,N,S
48,0,0,0,13.315,N,S
49,0,0,0,12.638,N,S
50,34.822,36.334,984.851,27.943,T,T
51,233.942,368.581,1185.622,47.369,Y,S
52,40.506,0.955,13.403,10.356,Y,S
53,0,0,0,12.541,N,S
55,214.148,47.522,795.887,37.939,Y,S
57,161.082,27.507,236.45,19.246,Y,S
58,3.107,0.731,11.975,10.22,Y,S
59,0,0,0,11.784,N,S
60,0,0,0,13.108,N,S
61,73.18,1.581,14.418,10.862,Y,S
62,76.947,225.764,496.523,22.737,T,S
63,0,0,0,13.525,N,S
65,0,0,0,15.887,N,S
66,242.471,312.341,1280.415,49.65,Y,S
67,677.488,535.531,2211.187,71.138,Y,S
68,781.773,432.347,3313.341,101.642,T,T
70,0,0,0,13.326,N,S
71,190.457,111.015,3102.95,61.666,T,T
72,301.184,396.455,1465.564,56.832,Y,S
73,682.815,107.475,463.823,25.537,Y,S
74,421.415,368.233,2136.339,78.113,T,T
75,177.141,569.241,1109.929,47.64,T,T
78,246.526,288.582,2538.068,96.474,T,T
79,0,0,0,12.085,N,S
80,188.39,235.222,2235.733,84.711,T,T
81,261.296,575.666,1710.914,42.232,T,T
82,664.413,1043.619,2481.845,98.274,T,T
83,229.633,120.266,542.321,30.505,Y,S
84,154.518,456.705,1062.157,61.305,T,T
85,937.194000000001,699.394,3472.059,100.45,T,T
86,616.619,717.345000000001,2169.435,81.153,T,T
87,0,0,0,11.485,N,S
88,498.544,563.838,2090.828,77.891,T,T
89,0,0,0,12.115,N,S
90,0,0,0,12.24,N,S
93,333.945,449.967,1923.65,63.573,T,T
94,263.287,325.598,1825.486,63.495,T,T
95,0,0,0,12.34,N,S
96,224.411,336.119,2503.418,101.33,T,T
97,277.236,619.295,1964.774,44.324,T,T
98,342.594,366.129,3623.889,97.787,T,T
99,963.857999999999,619.894,3110.457,103.703,T,T
100,586.586,531.911,4839.341,199.277,T,T
101,694.159,163.847,2568.142,62.15,T,T
102,351.078,489.473,2469.434,104.233,T,T
103,227.616,338.675,2534.102,103.058,T,T
104,204.486,110.981,3047.614,68.323,T,T
105,374.146,551.12,1718.052,58.838,T,T
106,198.372,303.766,2516.075,103.313,T,T
107,755.904000000001,879.374,4927.051,205.951,T,T
108,277.283,338.046,3135.703,99.92,T,T
109,223.322,287.519,2098.46,83.757,T,T
112,92.6960000000001,393.499,971.074000000001,27.379,T,T
113,0,0,0,12.047,N,S
115,24.78,0.879,13.156,10.529,Y,S
116,621.913,613.185,3854.872,85.706,T,T
117,0,0,0,12.241,N,S
119,0,0,0,12.112,N,S
120,0,0,0,12.129,N,S
121,1419.923,1269.147,3128.23,119.102,T,T
122,0,0,0,13.333,N,S
123,0,0,0,12.374,N,S
125,0,0,0,12.763,N,S
126,251.679,683.051,1742.826,42.531,T,T
127,142.323,150.358,519.415,30.066,Y,S
129,1249.169,993.297,3116.715,117.392,T,T
131,0,0,0,11.772,N,S
132,69.8,3.779,35.864,10.95,Y,S
133,76.021,3.238,61.165,11.738,Y,S
136,590.015,616.258,2884.537,65.682,T,T
140,0,0,0,13.019,N,S
144,482.065,385.903,571.591,27.155,Y,S
146,949.351,64.201,6061.498,601.351,T,S
147,1906.627,120.227,10478.414,627.495,T,S
148,59.492,22.786,766.877,29.566,Y,S
149,4.063,0.854,23.998,11.694,Y,S
150,12.806,0.783,13.24,11.05,Y,S
151,74.032,26.406,813.136,32.395,Y,S
152,5.545,0.769,13.858,11.658,Y,S
153,229.585,93.218,1425.357,42.23,Y,S
154,95.664,155.181,331.553,14.537,T,S
155,286.221,380.063,3205.288,70.286,T,T
156,251.609,289.739,960.096,42.465,Y,S
157,111.434,72.172,850.314,28.096,Y,S
158,56.648,55.513,965.436,30.468,Y,S
160,6.792,0.801,27.325,37.418,Y,S
161,681.691,367.945,4860.353,122.148,T,T
163,9.98,0.798,15.148,12.604,Y,S
164,166.381,112.437,888.515,39.125,Y,S
165,12.477,0.796,12.553,10.436,Y,S
166,145.426,58.636,972.485,49.786,Y,S
167,23.677,13.069,284.286,21.642,Y,S
168,43.249,0.903,14.407,12.105,Y,S
169,153.476,904.395,1327.352,35.707,T,T
170,217.405,327.684,2454.228,102.997,T,T
171,70.164,58.817,274.934,20.747,Y,S
