example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,24.89,N,S
1,216.373,135.853,1211.513,59.976,Y,S
2,625.576999999999,872.066000000001,2554.945,104.945,Y,S
4,2929.979,1436.47,48408.171,1681.038,T,T
6,1822.826,2822.674,15859.977,413.929,T,T
7,2999.791,2088.417,7721.341,528.768,T,T
8,6931.877,4675.381,11806.832,1076.531,T,T
9,0,0,0,22.719,N,S
10,0,0,0,25.746,N,S
11,0,0,0,24.887,N,S
12,0,0,0,23.08,N,S
13,0,0,0,20.763,N,S
15,2931.874,1419.623,23345.313,416.697,T,T
21,570.01,1149.278,5547.796,110.045,T,T
22,1519.538,5350.49999999999,8880.818,498.991,T,T
23,1544.135,5305.842,8982.505,483.737,T,T
24,457.667999999999,1029.432,6626.996,151.949,T,T
25,4159.11,2393.708,27041.827,516.824,T,T
26,4134.205,2268.596,18964.566,395.472,T,T
27,14495.4699999999,13142.532,202785.886,10128.286,T,T
29,90.105,7.454,68.392,21.647,Y,S
30,107.367,36.586,574.12,39.355,Y,S
31,2396.003,3443.546,9928.186,52.828,T,T
32,2157.656,3211.975,26233.252,1311.917,T,T
34,8602.15500000002,5691.85400000001,77089.7990000001,3909.581,T,T
35,0,0,0,24.055,N,S
36,49.208,1.541,25.273,19.822,Y,S
38,2900.07000000001,4531.76900000001,53223.2929999999,3198.082,T,T
39,0,0,0,33.473,N,S
40,0,0,0,27.966,N,S
42,0,0,0,28.459,N,S
43,0,0,0,27.64,N,S
46,3232.489,3446.022,7967.973,547.787,T,T
47,0,0,0,28.484,N,S
48,0,0,0,24.882,N,S
49,0,0,0,22.872,N,S
50,97.1250000000001,119.312,3164.289,86.065,T,T
51,523.016000000001,862.18,2966.349,116.857,Y,S
52,79.739,1.833,27.871,20.477,Y,S
53,0,0,0,23.324,N,S
55,412.276,104.729,1662.101,76.921,Y,S
57,343.934,56.085,475.475,38.042,Y,S
58,6.273,1.382,23.804,19.301,Y,S
59,0,0,0,21.651,N,S
60,0,0,0,24.931,N,S
61,145.019,2.943,29.349,21.377,Y,S
62,79.024,231.09,515.325,23.163,T,S
63,0,0,0,25.606,N,S
65,0,0,0,30.863,N,S
66,521.779000000001,726.945,3211.099,121.618,Y,S
67,1518.626,1273.369,5766.669,179.944,Y,S
68,2079.701,1478.413,26538.827,542.908,T,T
70,0,0,0,25.342,N,S
71,431.589000000001,282.487,8287.27199999999,145.316,T,T
72,659.671999999999,922.470999999999,3601.527,142.038,Y,S
73,1851.78,238.732,1041.076,67.36,Y,S
74,1384.654,1381.957,13641.811,526.879,T,T
75,812.019999999999,2411.953,8613.543,479.241,T,T
78,2220.51900000001,3183.303,43405.2460000001,2526.437,T,T
79,0,0,0,22.179,N,S
80,2739.76299999999,4258.056,43468.841,2448.89,T,T
81,716.417,1552.331,5536.751,116.852,T,T
82,6491.17499999999,10177.039,62508.244,3609.785,T,T
83,548.162,282.94,1427.256,82.025,Y,S
84,1396.056,4997.479,9171.122,517.105,T,T
85,2720.914,2564.61,26518.878,545.123,T,T
86,5722.84600000003,7624.04300000001,28204.774,1339.47,T,T
87,0,0,0,20.795,N,S
88,3875.35900000001,4020.266,25761.295,1294.768,T,T
89,0,0,0,22.874,N,S
90,0,0,0,22.873,N,S
93,840.336,1436.786,6880.194,198.516,T,T
94,1078.501,1415.16,12854.681,448.641,T,T
95,0,0,0,22.969,N,S
96,2874.80100000001,4450.29700000001,52218.302,3109.253,T,T
97,582.106,1453.451,5135.861,105.112,T,T
98,5005.82499999999,6496.15000000001,52526.0949999999,1845.739,T,T
99,2889.437,2147.244,25336.556,538.38,T,T
100,8407.19899999993,7578.99699999998,262615.179,15272.184,T,V
101,1521.856,373.804,6511.56399999999,148.046,T,T
102,3427.98399999998,4759.27199999999,53649.4959999999,3183.299,T,T
103,2920.256,4510.638,52597.9660000001,3121.59,T,T
104,440.67,249.043,7910.943,160.893,T,T
105,1077.322,1822.675,8809.644,244.025,T,T
106,2213.278,3881.354,52842.766,3117.554,T,T
107,7743.95900000003,6999.47899999998,231594.427,11029.142,T,T
108,1156.06,1258.894,36542.496,1097.504,T,T
109,3059.516,4245.303,40543.4250000001,2329.36,T,T
112,212.871,959.226,2560.999,63.258,T,T
113,0,0,0,23.71,N,S
115,49.114,1.771,27.556,21.087,Y,S
116,1448.776,1443.748,10247.339,212.507,T,T
117,0,0,0,22.669,N,S
119,0,0,0,23.037,N,S
120,0,0,0,23.149,N,S
121,14398.185,12203.329,76361.0400000001,3841.338,T,T
122,0,0,0,30.325,N,S
123,0,0,0,25.3,N,S
125,0,0,0,23.972,N,S
126,656.378,1691.684,5074.707,141.05,Y,T
127,315.583,330.073,1230.199,75.116,Y,S
129,9295.96900000002,7752.86399999999,72915.378,3707.83,T,T
131,0,0,0,21.603,N,S
132,138.948,7.416,72.299,21.395,Y,S
133,149.008,6.405,125.271,23.761,Y,S
136,1284.048,1520.526,7585.40000000001,154.16,T,T
140,0,0,0,24.605,N,S
144,1099.142,795.26,1293.226,71.588,Y,S
146,977.16,83.337,9010.95,596.256,T,S
147,1963.968,115.6,10468.304,629.652,T,S
148,133.626,50.282,1612.197,60.391,Y,S
149,8.722,1.626,49.034,22.955,Y,S
150,26.107,1.508,27.248,21.595,Y,S
151,156.769,61.005,1713.099,66.137,Y,S
152,11.967,1.525,28.619,23.239,Y,S
153,456.733,201.479,2884.956,86.88,Y,S
154,207.631,369.208,831.399,28.043,T,T
155,1002.9,1664.921,18211.273,595.175,Y,S
156,568.169,612.651,2184.156,103.827,Y,S
157,232.927,152.592,1722.161,55.865,Y,S
158,125.432,118.975,2008.162,61.728,Y,S
160,14.572,1.587,56.586,79.394,Y,S
161,1763.085,963.165999999999,29987.749,630.528,T,T
163,19.309,1.565,30.885,25.288,Y,S
164,316.361000000001,238.162,1862.357,78.137,Y,S
165,25.843,1.524,26.052,20.67,Y,S
166,284.519,126.386,2024.196,99.408,Y,S
167,49.012,29.425,573.423,41.476,Y,S
168,83.144,1.807,30.524,24.287,Y,S
169,342.894,2126.434,3658.49,86.117,T,T
170,4124.81899999999,6121.69300000001,55922.959,3253.869,T,T
171,139.08,126.513,581.951,42.064,Y,S
