example,time_sampling,time_training,time_Z3,result,lastPhase,
0,0,0,0,7.399,N,S
1,20.472,0.645,8.132,5.967,Y,S
2,188.649,64.788,167.869,9.644,Y,S
4,1469.594,498.422,1099.143,27.386,T,T
6,1930.622,1126.823,636.117,19.445,T,T
7,1914.192,602.269,1364.745,19.678,T,T
8,6069.033,1371.165,1850.949,20.588,T,T
9,0,0,0,6.895,N,S
10,0,0,0,7.396,N,S
11,0,0,0,7.509,N,S
12,0,0,0,6.883,N,S
13,0,0,0,6.193,N,S
15,305.978,48.468,233.456,10.082,Y,S
21,831.757,581.83,596.657,19.15,T,T
22,786.769,1192.038,623.764,17.74,T,T
23,763.816,1182.852,603.598,17.306,T,T
24,696.548,634.036,661.38,22.931,T,T
25,3567.208,1441.22,623.474,19.388,T,T
26,3538.504,1509.417,624.814,19.96,T,T
27,405.293,173.6,1027.218,19.901,T,T
29,47.941,1.809,18.198,5.867,Y,S
30,15.415,0.497,8.855,5.796,Y,S
31,13952.022,6361.543,798.396,22.49,T,T
32,1363.966,1072.983,759.189,17.896,T,T
34,1057.237,199.436,902.089,18.266,T,T
35,0,0,0,7.134,N,S
36,20.62,0.531,6.9,5.566,Y,S
38,320.798,214.104,661.87,20.418,T,T
39,0,0,0,9.541,N,S
40,0,0,0,8.137,N,S
42,0,0,0,8.341,N,S
43,0,0,0,8.095,N,S
46,1879.752,396.045,1076.571,20.376,T,T
47,0,0,0,8.461,N,S
48,0,0,0,7.654,N,S
49,0,0,0,7.035,N,S
50,145.709,32.863,506.043,17.92,T,T
51,751.961,264.44,576.433,17.882,Y,S
52,36.772,1.597,7.471,5.427,Y,S
53,0,0,0,7.338,N,S
55,34.499,0.588,9.016,6.008,Y,S
57,70.823,0.842,8.685,5.542,Y,S
58,2.585,0.464,6.26,5.17,Y,S
59,0,0,0,6.482,N,S
60,0,0,0,7.321,N,S
61,71.866,0.918,8.965,5.878,Y,S
62,460.089,660.481,551.744,17.862,T,T
63,0,0,0,7.42,N,S
65,0,0,0,8.843,N,S
66,798.275,421.38,562.351,18.432,T,T
67,1965.348,1093.623,629.548,19.025,T,T
68,1934.301,957.484,669.631,19.836,T,T
70,0,0,0,7.487,N,S
71,559.662,71.512,666.353,19.359,T,T
72,187.697,63.185,165.033,9.876,Y,S
73,300.592,48.786,231.255,10.158,Y,S
74,1190.582,864.129,866.792,22.26,T,T
75,468.233,425.259,687.606,17.691,T,T
78,653.487,174.515,888.826,21.022,T,T
79,0,0,0,6.601,N,S
80,484.326,249.091,1143.461,18.97,T,T
81,920.228,909.607,573.918,18.309,T,T
82,1445.313,1222.584,751.634,18.195,T,T
83,57.187,1.414,16.065,6.131,Y,S
84,458.695,469.456,581.506,17.464,T,T
85,1926.931,1020.68,629.949,19.665,T,T
86,797.72,358.758,751.478,18.508,T,T
87,0,0,0,6.226,N,S
88,913.199,455.451,755.95,17.547,T,T
89,0,0,0,7.2,N,S
90,0,0,0,6.898,N,S
93,600.352,299.705,608.256,18.765,T,T
94,526.344,247.094,710.075,18.989,T,T
95,0,0,0,7.034,N,S
96,323.323,154.749,1242.876,19.282,T,T
97,919.108,441.499,592.368,18.888,T,T
98,628.156,221.692,689.214,19.815,T,T
99,1929.843,1037.621,740.515,19.388,T,T
100,363.171,114.526,1177.679,20.273,T,T
101,1917.533,118.044,626.858,19.137,T,T
102,275.298,133.619,902.633,19.196,T,T
103,334.383,140.124,1072.818,19.528,T,T
104,346.906,165.332,680.623,21.301,T,T
105,820.173,501.302,651.138,17.829,T,T
106,271.567,135.836,1128.325,19.368,T,T
107,439.418,160.2,1399.038,22.512,T,T
108,411.213,120.494,620.401,19.829,T,T
109,457.093,274.28,842.153,18.645,T,T
112,449.815,696.01,517.52,17.505,T,T
113,0,0,0,6.823,N,S
115,20.524,0.521,6.589,5.343,Y,S
116,1808.555,1229.788,700.513,23.007,T,T
117,0,0,0,6.82,N,S
119,0,0,0,6.782,N,S
120,0,0,0,6.724,N,S
121,1455.846,616.825,901.105,18.309,T,T
122,0,0,0,7.393,N,S
123,0,0,0,6.908,N,S
125,0,0,0,7.079,N,S
126,910.983,497.966,605.598,18.182,T,T
127,34.617,2.494,8.364,6.047,Y,S
129,2185.766,838.763,873.711,18.103,T,T
131,0,0,0,6.411,N,S
132,70.893,1.946,20.066,5.953,Y,S
133,81.188,1.668,34.578,6.373,Y,S
136,1710.519,863.293,633.702,20.196,T,T
140,0,0,0,7.305,N,S
144,5025.297,2479.039,1076.602,19.904,T,T
146,18843.661,295.307,8307.432,57.042,T,T
147,38903.345,520.573,14752.544,76.976,T,T
148,9.466,0.494,12.801,6.043,Y,S
149,3.545,0.461,9.847,6.084,Y,S
150,12.223,0.794,15.289,5.814,Y,S
151,14.017,0.57,12.839,6.456,Y,S
152,300.364,53.156,975.476,21.191,T,T
153,43.149,6.545,92.193,6.399,Y,S
154,54.254,46.987,115.402,5.786,T,S
155,737.497,343.075,967.488,20.433,T,T
156,202.365,95.738,198.1,9.69,Y,S
157,24.818,12.218,86.139,5.659,Y,S
158,6.555,0.495,13.48,6.137,Y,S
159,3.782,0.482,8.267,6.573,Y,S
160,5.862,0.503,14.247,16.711,Y,S
161,931.355,340.762,1039.639,17.64,Y,S
162,17.336,0.547,15.29,6.61,Y,S
163,8.141,0.476,9.604,6.823,Y,S
164,23.725,2.678,34.735,5.928,Y,S
165,11.367,0.49,7.3,5.589,Y,S
166,14.621,1.103,28.49,7.524,Y,S
167,3.576,0.478,12.769,6.115,Y,S
168,36.673,0.532,8.228,6.497,Y,S
169,773.566,1387.085,572.931,21.013,T,T
170,335.534,242.424,969.375,18.496,T,T
171,25.195,0.556,7.957,6.157,Y,S
,143446.142,43292.587,73950.537,1824.799,,
