example,time_sampling,time_training,time_Z3,result,lastPhase,,,TIME,SOLVED,,
0,0,0,0,7.439,N,S,,7.439,TRUE,FALSE,Err:509
1,98.576,61.341,553.905,5.737,Y,S,,719.559,FALSE,TRUE,
2,268.512,406.636,1068.272,5.429,Y,S,,1748.849,FALSE,TRUE,
4,690.419,307.709,4192.14,7.666,T,T,,5197.934,FALSE,FALSE,
6,676.406000000001,1056.453,2889.899,5.841,T,T,,4628.599,FALSE,FALSE,
7,533.14,592.592,703.061,5.918,T,T,,1834.711,FALSE,FALSE,
8,1288.6,1440.471,898.372,6.045,T,T,,3633.488,FALSE,FALSE,
9,0,0,0,6.844,N,S,,6.844,TRUE,FALSE,
10,0,0,0,7.35,N,S,,7.35,TRUE,FALSE,
11,0,0,0,7.113,N,S,,7.113,TRUE,FALSE,
12,0,0,0,6.864,N,S,,6.864,TRUE,FALSE,
13,0,0,0,6.71,N,S,,6.71,TRUE,FALSE,
15,703.443,406.683,687.231,5.742,T,T,,1803.099,FALSE,FALSE,
21,245.119,467.255,2011.109,5.737,T,T,,2729.22,FALSE,FALSE,
22,249.258,794.067,1047.65,5.748,T,T,,2096.723,FALSE,FALSE,
23,249.128,788.073,1080.667,5.744,T,T,,2123.612,FALSE,FALSE,
24,189.749,408.136,2304.323,6.824,T,T,,2909.032,FALSE,FALSE,
25,1573.806,732.669,3010.851,5.775,T,T,,5323.101,FALSE,FALSE,
26,1293.833,767.593,2536.544,5.656,T,T,,4603.626,FALSE,FALSE,
27,1574.905,1173.407,4158.847,5.955,T,T,,6913.114,FALSE,FALSE,
29,43.951,3.393,33.101,5.758,Y,S,,86.203,FALSE,TRUE,
30,54.045,16.655,272.389,5.768,Y,S,,348.857,FALSE,TRUE,
31,1096.717,1203.123,2968.338,6.662,T,T,,5274.84,FALSE,FALSE,
32,502.391,617.148,2027.071,5.378,T,T,,3151.988,FALSE,FALSE,
34,879.921,631.902,3118.15,5.429,T,T,,4635.402,FALSE,FALSE,
35,0,0,0,7.123,N,S,,7.123,TRUE,FALSE,
36,25.589,0.851,12.873,5.889,Y,S,,45.202,FALSE,TRUE,
38,213.454,314.387,2513.747,6.1,T,T,,3047.688,FALSE,FALSE,
39,0,0,0,9.785,N,S,,9.785,TRUE,FALSE,
40,0,0,0,8.405,N,S,,8.405,TRUE,FALSE,
42,0,0,0,8.24,N,S,,8.24,TRUE,FALSE,
43,0,0,0,8.018,N,S,,8.018,TRUE,FALSE,
46,542.293,631.176,729.844,5.945,T,T,,1909.258,FALSE,FALSE,
47,0,0,0,8.225,N,S,,8.225,TRUE,FALSE,
48,0,0,0,7.365,N,S,,7.365,TRUE,FALSE,
49,0,0,0,7.186,N,S,,7.186,TRUE,FALSE,
50,35.012,35.621,980.488,5.935,T,T,,1057.056,FALSE,FALSE,
51,228.198,378.712,1184.887,5.377,Y,S,,1797.174,FALSE,TRUE,
52,39.996,0.946,13.258,5.411,Y,S,,59.611,FALSE,TRUE,
53,0,0,0,7.006,N,S,,7.006,TRUE,FALSE,
55,226.854,48.305,807.771999999999,5.852,Y,S,,1088.783,FALSE,TRUE,
57,166.449,26.843,236.077,5.539,Y,S,,434.908,FALSE,TRUE,
58,3.048,0.72,11.917,5.666,Y,S,,21.351,FALSE,TRUE,
59,0,0,0,7.122,N,S,,7.122,TRUE,FALSE,
60,0,0,0,7.607,N,S,,7.607,TRUE,FALSE,
61,71.841,1.56,14.524,5.77,Y,S,,93.695,FALSE,TRUE,
62,83.586,227.128,492.768,5.995,T,V,,809.477,FALSE,FALSE,
63,0,0,0,7.696,N,S,,7.696,TRUE,FALSE,
65,0,0,0,8.889,N,S,,8.889,TRUE,FALSE,
66,234.569,298.673,1208.112,5.489,Y,S,,1746.843,FALSE,TRUE,
67,669.73,547.224,2216.934,5.795,Y,S,,3439.683,FALSE,TRUE,
68,787.65,440.359,3211.837,5.879,T,T,,4445.725,FALSE,FALSE,
70,0,0,0,7.437,N,S,,7.437,TRUE,FALSE,
71,205.872,114.804,3156.161,5.899,T,T,,3482.736,FALSE,FALSE,
72,272.363,395.67,1440.385,5.502,Y,S,,2113.92,FALSE,TRUE,
73,659.958,107.469,452.339,5.751,Y,S,,1225.517,FALSE,TRUE,
74,441.404,370.841,2126.035,6.516,T,T,,2944.796,FALSE,FALSE,
75,174.822,571.685,1066.897,5.896,T,T,,1819.3,FALSE,FALSE,
78,265.727,286.915,2507.552,6.109,T,T,,3066.303,FALSE,FALSE,
79,0,0,0,7.042,N,S,,7.042,TRUE,FALSE,
80,191.674,234.732,2185.668,5.684,T,T,,2617.758,FALSE,FALSE,
81,253.047,577.528,1661.516,5.521,T,T,,2497.612,FALSE,FALSE,
82,654.39,1046.187,2442.688,5.365,T,T,,4148.63,FALSE,FALSE,
83,242.031,122.821,539.124,6.301,Y,S,,910.277,FALSE,TRUE,
84,166.803,460.358,1043.048,5.882,T,T,,1676.091,FALSE,FALSE,
85,945.974,743.725,3521.701,5.929,T,T,,5217.329,FALSE,FALSE,
86,626.499,715.939,2174.8,5.562,T,T,,3522.8,FALSE,FALSE,
87,0,0,0,7.006,N,S,,7.006,TRUE,FALSE,
88,504.041,564.56,2071.156,5.391,T,T,,3145.148,FALSE,FALSE,
89,0,0,0,6.807,N,S,,6.807,TRUE,FALSE,
90,0,0,0,7.136,N,S,,7.136,TRUE,FALSE,
93,162.338,264.242,1814.599,5.611,T,T,,2246.79,FALSE,FALSE,
94,265.188,319.007,1800.299,5.629,T,T,,2390.123,FALSE,FALSE,
95,0,0,0,6.919,N,S,,6.919,TRUE,FALSE,
96,234.692,342.424,2585.033,5.784,T,T,,3167.933,FALSE,FALSE,
97,263.825,604.218,1951.741,5.625,T,T,,2825.409,FALSE,FALSE,
98,330.388,366.343,3543.555,5.975,T,T,,4246.261,FALSE,FALSE,
99,943.499000000002,606.357,3034.731,5.762,T,T,,4590.349,FALSE,FALSE,
100,547.059000000001,543.178999999999,4744.873,6.141,T,T,,5841.252,FALSE,FALSE,
101,673.204,167.353,2577.028,5.705,T,T,,3423.29,FALSE,FALSE,
102,362.195,487.608,2480.74,5.75,T,T,,3336.293,FALSE,FALSE,
103,229.514,340.96,2490.992,5.688,T,T,,3067.154,FALSE,FALSE,
104,191.164,109.371,2967.272,6.215,T,T,,3274.022,FALSE,FALSE,
105,372.526,567.94,1689.309,5.413,T,T,,2635.188,FALSE,FALSE,
106,198.609,308.102,2489.775,5.703,T,T,,3002.189,FALSE,FALSE,
107,787.34,849.037,4909.415,6.518,T,T,,6552.31,FALSE,FALSE,
108,272.327,343.297,3060.126,5.883,T,T,,3681.633,FALSE,FALSE,
109,222.678,286.588,2041.284,5.574,T,T,,2556.124,FALSE,FALSE,
112,92.269,395.252,949.624,5.845,T,T,,1442.99,FALSE,FALSE,
113,0,0,0,6.789,N,S,,6.789,TRUE,FALSE,
115,24.254,0.859,12.606,5.802,Y,S,,43.521,FALSE,TRUE,
116,622.059,597.402,3730.209,6.762,T,T,,4956.432,FALSE,FALSE,
117,0,0,0,7.069,N,S,,7.069,TRUE,FALSE,
119,0,0,0,6.931,N,S,,6.931,TRUE,FALSE,
120,0,0,0,7.185,N,S,,7.185,TRUE,FALSE,
121,1485.447,1265.148,3091.759,5.482,T,T,,5847.836,FALSE,FALSE,
122,0,0,0,7.397,N,S,,7.397,TRUE,FALSE,
123,0,0,0,6.854,N,S,,6.854,TRUE,FALSE,
125,0,0,0,7.043,N,S,,7.043,TRUE,FALSE,
126,252.711,660.442,1647.259,5.604,Y,S,,2566.016,FALSE,TRUE,
127,140.278,152.32,509.867,5.929,Y,S,,808.394,FALSE,TRUE,
129,1330.208,995.133,3076.885,5.524,T,T,,5407.75,FALSE,FALSE,
131,0,0,0,7.186,N,S,,7.186,TRUE,FALSE,
132,65.608,3.657,35.415,5.731,Y,S,,110.411,FALSE,TRUE,
133,73.181,3.276,60.988,6.235,Y,S,,143.68,FALSE,TRUE,
136,583.09,620.837,2852.193,5.904,T,T,,4062.024,FALSE,FALSE,
140,0,0,0,7.289,N,S,,7.289,TRUE,FALSE,
144,477.291,370.387,534.472,5.893,Y,S,,1388.043,FALSE,TRUE,
146,913.920000000001,73.233,6203.132,15.174,T,S,,7205.459,FALSE,FALSE,
147,1808.606,109.682,7534.508,19.886,T,S,,9472.682,FALSE,FALSE,
