example,time_sampling,time_training,time_Z3,result,lastPhase,,0,0,0,0
0,264.191,409.201,1077.262,5.428,Y,S,1.756082,1,1.756082,1
1,335.848,588.212,2093.663,5.392,T,T,3.023115,0,4.779197,1
2,274.247,162.526,713.24,6.069,T,T,1.156082,0,5.935279,1
3,210.802,97.243,880.271999999999,5.934,Y,S,1.194251,1,7.12953,2
4,185.771,96.145,859.083,5.706,Y,S,1.146705,1,8.276235,3
5,141.884,125.367,669.116,5.864,T,T,0.942231,0,9.218466,3
6,157.312,125.936,659.502,5.881,T,T,0.948631,0,10.167097,3
7,0,0,0,7.093,N,S,0.007093,1,10.17419,4
8,129.413,80.769,707.093,5.851,Y,S,0.923126,1,11.097316,5
9,225.724,136.338,1334.045,5.579,Y,S,1.701686,1,12.799002,6
10,261.231,139.86,819.744,5.543,Y,S,1.226378,1,14.02538,7
11,0,0,0,6.882,N,S,0.006882,1,14.032262,8
12,0,0,0,7.109,N,S,0.007109,1,14.039371,9
13,0,0,0,7.02,N,S,0.00702,1,14.046391,10
14,0,0,0,6.848,N,S,0.006848,1,14.053239,11
15,249.593,796.205,1059.618,5.753,T,T,2.111169,0,16.164408,11
16,247.751,347.794,1071.939,5.549,Y,S,1.673033,1,17.837441,12
17,462.849,651.809,2121.909,5.459,T,T,3.242026,0,21.079467,12
18,56.359,82.453,602.903,5.513,Y,S,0.747228,1,21.826695,13
19,217.226,441.398,1204.626,5.628,Y,S,1.868878,1,23.695573,14
20,18.673,0.817,13.694,5.611,Y,S,0.038795,1,23.734368,15
21,432.443,551.623,3390.576,5.945,T,T,4.380587,0,28.114955,15
22,0,0,0,7.294,N,S,0.007294,1,28.122249,16
23,224.98,193.83,1081.56,5.568,Y,S,1.505938,1,29.628187,17
24,0,0,0,7.08,N,S,0.00708,1,29.635267,18
25,0,0,0,7.068,N,S,0.007068,1,29.642335,19
26,248.056,265.774,1068.771,5.493,Y,S,1.588094,1,31.230429,20
27,0,0,0,7.338,N,S,0.007338,1,31.237767,21
28,832.469000000001,497.123,3469.897,5.813,T,T,4.805302,0,36.043069,21
29,340.438,247.097,2316.662,5.692,Y,S,2.909889,1,38.952958,22
30,155.515,110.189,666.037,5.762,T,T,0.937503,0,39.890461,22
31,147.863,543.033,1209.757,6.602,T,T,1.907255,0,41.797716,22
32,0,0,0,7.692,N,S,0.007692,1,41.805408,23
33,0,0,0,0,T,S,0,0,41.805408,23
34,403.12,316.12,2066.43,6.394,T,T,2.792064,0,44.597472,23
35,152.127,615.219,1192.746,6.725,T,T,1.966817,0,46.564289,23
36,0,0,0,7.724,N,S,0.007724,1,46.572013,24
37,230.347,57.528,776.087,5.599,Y,S,1.069561,1,47.641574,25
