example,time_sampling,time_training,time_Z3,result,lastPhase,,,,0,0
0,591.481,852.443,2440.822,5.505,Y,S,3.890251,1,3.890251,1
1,4383.24499999999,5150.11400000001,35525.1560000001,5.451,T,T,45.0639660000001,0,48.9542170000001,1
2,1177.838,502.264,22398.929,6.108,T,T,24.085139,0,73.0393560000001,1
3,391.994,193.968,1757.242,5.851,Y,S,2.349055,1,75.3884110000001,2
4,381.85,193.177,1722.649,5.695,Y,S,2.303371,1,77.6917820000001,3
5,607.927,326.613,29298.483,5.731,Y,S,30.238754,1,107.930536,4
6,611.113,329.748,29178.083,5.89,Y,T,30.124834,1,138.05537,5
7,0,0,0,7.111,N,S,0.007111,1,138.062481,6
8,253.64,157.908,1385.193,5.746,Y,S,1.802487,1,139.864968,7
9,448.913,288.187,2783.356,5.568,Y,S,3.526024,1,143.390992,8
10,504.303,281.138,1614.067,5.489,Y,S,2.404997,1,145.795989,9
11,0,0,0,6.905,N,S,0.006905,1,145.802894,10
12,0,0,0,6.846,N,S,0.006846,1,145.80974,11
13,0,0,0,6.884,N,S,0.006884,1,145.816624,12
14,0,0,0,6.988,N,S,0.006988,1,145.823612,13
15,977.461000000001,2717.525,8229.523,5.742,T,T,11.930251,0,157.753863,13
16,552.753,727.574,2437.829,5.478,Y,S,3.723634,1,161.477497,14
17,2673.747,3518.681,36661.5790000001,5.465,T,T,42.8594720000001,0,204.336969,14
18,133.173,162.969,1220.64,5.629,Y,S,1.522411,1,205.85938,15
19,458.586,958.602,2829.613,5.552,Y,S,4.252353,1,210.111733,16
20,39.368,1.411,26.963,5.527,Y,S,0.073269,1,210.185002,17
21,924.118000000001,1342.385,8866.18499999999,5.872,T,T,11.13856,0,221.323562,17
22,0,0,0,7.332,N,S,0.007332,1,221.330894,18
23,506.520999999999,401.485,2481.299,5.552,Y,S,3.394857,1,224.725751,19
24,0,0,0,7.242,N,S,0.007242,1,224.732993,20
25,0,0,0,6.868,N,S,0.006868,1,224.739861,21
26,528.446,569.816,2431.427,5.359,Y,S,3.535048,1,228.274909,22
27,0,0,0,7.259,N,S,0.007259,1,228.282168,23
28,7515.44700000002,4943.575,48432.879,5.802,Y,S,60.897703,1,289.179871,24
29,788.220000000001,578.691,5835.60999999999,5.739,Y,S,7.20825999999999,1,296.388131,25
30,787.194,302.886,24747.031,5.759,Y,S,25.84287,1,322.231001,26
31,328.453,1105.416,3311.846,6.779,T,T,4.752494,0,326.983495,26
32,0,0,0,7.981,N,S,0.007981,1,326.991476,27
33,0,0,0,0,T,S,0,0,326.991476,27
34,920.529999999998,668.308,5436.589,6.374,T,T,7.031801,0,334.023277,27
35,346.767999999999,1249.63,3057.771,6.583,T,T,4.660752,0,338.684029,27
36,0,0,0,7.759,N,S,0.007759,1,338.691788,28
37,468.013,114.876,1534.458,5.656,Y,S,2.123003,1,340.814791,29
38,3515.761,4796.32500000001,36145.675,5.657,T,T,44.463418,0,385.278209,29
39,4021.61600000001,4928.70600000001,30873.042,6.391,T,T,39.829755,0,425.107964,29
40,3821.21300000002,5090.409,67620.8070000001,5.494,T,T,76.5379230000001,0,501.645887,29
41,979.65,2712.089,8351.56299999999,5.788,T,T,12.04909,0,513.694977,29
42,1847.14,1388.397,10407.537,5.604,Y,S,13.648678,1,527.343655,30
43,3284.453,4273.75999999999,25488.631,5.512,T,T,33.052356,0,560.396011,30
44,818.766999999998,2448.599,8199.761,5.812,T,T,11.472939,0,571.86895,30
45,308.283,108.58,1136.421,7.456,Y,S,1.56074,1,573.42969,31
46,811.296000000002,2410.638,8209.005,5.765,T,T,11.436704,0,584.866394,31
47,0,0,0,7.667,N,S,0.007667,1,584.874061,32
48,960.605000000004,2801.236,8276.936,5.677,T,T,12.044454,0,596.918515,32
49,0,0,0,8.757,N,S,0.008757,1,596.927272,33
50,571.747,378.352,1842.821,5.505,Y,S,2.798425,1,599.725697,34
51,4558.439,5041.48799999999,35524.81,5.562,T,T,45.130299,0,644.855996,34
52,17754.0639999999,14705.236,122640.032,5.639,T,T,155.104971,0,799.960967,34
53,2902.821,1843.839,50202.154,5.72,T,T,54.954534,0,854.915501,34
54,82.462,1.564,31.156,6.453,Y,S,0.121635,1,855.037136,35
55,147.284,44.504,1154.602,7.493,Y,S,1.353883,1,856.391019,36
56,471.371,734.289,2457.992,5.469,Y,S,3.669121,1,860.06014,37
57,2666.326,1339.54,22723.115,5.485,T,T,26.734466,0,886.794606,37
58,4719.635,5594.817,53024.797,5.615,T,T,63.344864,0,950.13947,37
59,991.764999999995,2758.58900000001,8249.03599999999,5.665,T,T,12.005055,0,962.144525,37
60,560.490000000001,846.317,5560.611,6.157,T,T,6.973575,0,969.1181,37
61,6416.31700000002,8252.984,52630.1360000001,5.401,T,T,67.3048380000001,0,1036.422938,37
62,797.193999999999,2287.151,8480.535,5.814,T,T,11.570694,0,1047.993632,37
63,832.428999999997,2457.347,8068.07100000001,5.679,T,T,11.363526,0,1059.357158,37
64,0,0,0,6.918,N,S,0.006918,1,1059.364076,38
65,990.110999999998,2755.271,8277.21199999999,5.736,T,T,12.02833,0,1071.392406,38
66,1183.276,1036.763,13173.448,6.381,T,T,15.399868,0,1086.792274,38
67,514.122000000001,534.269,2791.516,5.389,Y,S,3.845296,1,1090.63757,39
68,420.859,430.61,2052.164,5.486,Y,S,2.909119,1,1093.546689,40
69,567.974000000001,413.406,1805.058,5.604,Y,S,2.792042,1,1096.338731,41
70,643.951000000001,582.452,5636.839,5.649,Y,S,6.868891,1,1103.207622,42
71,319.77,403.282,1139.726,5.51,Y,S,1.868288,1,1105.07591,43
72,498.869,536.846,2389.759,5.408,Y,S,3.430882,1,1108.506792,44
73,334.829,372.743,1137.864,5.557,Y,S,1.850993,1,1110.357785,45
74,511.303,282.998,1630.676,5.485,Y,S,2.430462,1,1112.788247,46
75,39.219,1.505,27.785,5.558,Y,S,0.074067,1,1112.862314,47
76,769.79,678.065,4717.117,5.764,Y,S,6.170736,1,1119.03305,48
77,1459.652,632.551000000001,33014.875,6.668,T,T,35.113746,0,1154.146796,48
78,65.75,1.649,35.246,5.765,Y,S,0.10841,1,1154.255206,49
79,129.859,2.343,35.009,5.768,Y,S,0.172979,1,1154.428185,50
80,50.457,1.708,25.173,5.88,Y,S,0.083218,1,1154.511403,51
81,180.923,618.305,4023.776,7.014,T,T,4.830018,0,1159.341421,51
82,345.995999999999,1097.4,2961.674,6.526,T,T,4.411596,0,1163.753017,51
83,0,0,0,0,T,S,0,0,1163.753017,51
84,0,0,0,7.574,N,S,0.007574,1,1163.760591,52
85,48.073,1.645,25.326,5.777,Y,S,0.080821,1,1163.841412,53
86,44.182,1.608,24.722,5.729,Y,S,0.076241,1,1163.917653,54
87,207.962,559.454,3051.683,6.536,T,T,3.825635,0,1167.743288,54
88,42.47,1.565,24.859,5.763,Y,S,0.074657,1,1167.817945,55
89,0,0,0,7.707,N,S,0.007707,1,1167.825652,56
90,0,0,0,7.707,N,S,0.007707,1,1167.833359,57
91,995.824999999996,2759.155,8105.39199999999,5.619,T,T,11.865991,0,1179.69935,57
,101507.452,118589.739,959051.367,550.792,,,1179.69935,0,,
,101.507452,118.589739,959.051367000001,0.550792,1179.69935,,1.17969935,0,,
,234.315745,248.007146,2033.779801,0.864602,2516.967294,,2.516967294,0,,
,335.823197,366.596885,2992.831168,1.415394,3696.666644,,3.696666644,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
,,,,,,,0,0,,
