example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,7.439,N,S
1,98.576,61.341,553.905,5.737,Y,S
2,268.512,406.636,1068.272,5.429,Y,S
4,690.419,307.709,4192.14,7.666,T,T
6,676.406000000001,1056.453,2889.899,5.841,T,T
7,533.14,592.592,703.061,5.918,T,T
8,1288.6,1440.471,898.372,6.045,T,T
9,0,0,0,6.844,N,S
10,0,0,0,7.35,N,S
11,0,0,0,7.113,N,S
12,0,0,0,6.864,N,S
13,0,0,0,6.71,N,S
15,703.443,406.683,687.231,5.742,T,T
21,245.119,467.255,2011.109,5.737,T,T
22,249.258,794.067,1047.65,5.748,T,T
23,249.128,788.073,1080.667,5.744,T,T
24,189.749,408.136,2304.323,6.824,T,T
25,1573.806,732.669,3010.851,5.775,T,T
26,1293.833,767.593,2536.544,5.656,T,T
27,1574.905,1173.407,4158.847,5.955,T,T
29,43.951,3.393,33.101,5.758,Y,S
30,54.045,16.655,272.389,5.768,Y,S
31,1096.717,1203.123,2968.338,6.662,T,T
32,502.391,617.148,2027.071,5.378,T,T
34,879.921,631.902,3118.15,5.429,T,T
35,0,0,0,7.123,N,S
36,25.589,0.851,12.873,5.889,Y,S
38,213.454,314.387,2513.747,6.1,T,T
39,0,0,0,9.785,N,S
40,0,0,0,8.405,N,S
42,0,0,0,8.24,N,S
43,0,0,0,8.018,N,S
46,542.293,631.176,729.844,5.945,T,T
47,0,0,0,8.225,N,S
48,0,0,0,7.365,N,S
49,0,0,0,7.186,N,S
50,35.012,35.621,980.488,5.935,T,T
51,228.198,378.712,1184.887,5.377,Y,S
52,39.996,0.946,13.258,5.411,Y,S
53,0,0,0,7.006,N,S
55,226.854,48.305,807.771999999999,5.852,Y,S
57,166.449,26.843,236.077,5.539,Y,S
58,3.048,0.72,11.917,5.666,Y,S
59,0,0,0,7.122,N,S
60,0,0,0,7.607,N,S
61,71.841,1.56,14.524,5.77,Y,S
62,83.586,227.128,492.768,5.995,T,V
63,0,0,0,7.696,N,S
65,0,0,0,8.889,N,S
66,234.569,298.673,1208.112,5.489,Y,S
67,669.73,547.224,2216.934,5.795,Y,S
68,787.65,440.359,3211.837,5.879,T,T
70,0,0,0,7.437,N,S
71,205.872,114.804,3156.161,5.899,T,T
72,272.363,395.67,1440.385,5.502,Y,S
73,659.958,107.469,452.339,5.751,Y,S
74,441.404,370.841,2126.035,6.516,T,T
75,174.822,571.685,1066.897,5.896,T,T
78,265.727,286.915,2507.552,6.109,T,T
79,0,0,0,7.042,N,S
80,191.674,234.732,2185.668,5.684,T,T
81,253.047,577.528,1661.516,5.521,T,T
82,654.39,1046.187,2442.688,5.365,T,T
83,242.031,122.821,539.124,6.301,Y,S
84,166.803,460.358,1043.048,5.882,T,T
85,945.974,743.725,3521.701,5.929,T,T
86,626.499,715.939,2174.8,5.562,T,T
87,0,0,0,7.006,N,S
88,504.041,564.56,2071.156,5.391,T,T
89,0,0,0,6.807,N,S
90,0,0,0,7.136,N,S
93,162.338,264.242,1814.599,5.611,T,T
94,265.188,319.007,1800.299,5.629,T,T
95,0,0,0,6.919,N,S
96,234.692,342.424,2585.033,5.784,T,T
97,263.825,604.218,1951.741,5.625,T,T
98,330.388,366.343,3543.555,5.975,T,T
99,943.499000000002,606.357,3034.731,5.762,T,T
100,547.059000000001,543.178999999999,4744.873,6.141,T,T
101,673.204,167.353,2577.028,5.705,T,T
102,362.195,487.608,2480.74,5.75,T,T
103,229.514,340.96,2490.992,5.688,T,T
104,191.164,109.371,2967.272,6.215,T,T
105,372.526,567.94,1689.309,5.413,T,T
106,198.609,308.102,2489.775,5.703,T,T
107,787.34,849.037,4909.415,6.518,T,T
108,272.327,343.297,3060.126,5.883,T,T
109,222.678,286.588,2041.284,5.574,T,T
112,92.269,395.252,949.624,5.845,T,T
113,0,0,0,6.789,N,S
115,24.254,0.859,12.606,5.802,Y,S
116,622.059,597.402,3730.209,6.762,T,T
117,0,0,0,7.069,N,S
119,0,0,0,6.931,N,S
120,0,0,0,7.185,N,S
121,1485.447,1265.148,3091.759,5.482,T,T
122,0,0,0,7.397,N,S
123,0,0,0,6.854,N,S
125,0,0,0,7.043,N,S
126,252.711,660.442,1647.259,5.604,Y,S
127,140.278,152.32,509.867,5.929,Y,S
129,1330.208,995.133,3076.885,5.524,T,T
131,0,0,0,7.186,N,S
132,65.608,3.657,35.415,5.731,Y,S
133,73.181,3.276,60.988,6.235,Y,S
136,583.09,620.837,2852.193,5.904,T,T
140,0,0,0,7.289,N,S
144,477.291,370.387,534.472,5.893,Y,S
146,913.920000000001,73.233,6203.132,15.174,T,S
147,1808.606,109.682,7534.508,19.886,T,S
148,58.133,22.657,777.618,6.077,Y,S
149,4.107,0.868,23.848,6.106,Y,S
150,12.556,0.783,13.444,5.898,Y,S
151,73.869,26.07,795.898,6.483,Y,S
152,5.899,0.776,13.868,6.186,Y,S
153,230.211,91.136,1372.99,6.349,Y,S
154,93.108,155.381,342.595,5.755,T,S
155,278.102,367.364,3045.305,5.946,T,T
156,261.602,290.11,956.539,5.553,Y,S
157,105.015,71.673,831,5.564,Y,S
158,56.127,56.123,976.062,6.095,Y,S
160,6.714,0.777,26.771,16.552,Y,S
161,723.731,360.232,4733.609,6.654,Y,T
163,9.889,0.787,15.125,6.618,Y,S
164,163.315,111.984,882.079,5.834,Y,S
165,13.195,0.793,12.646,5.559,Y,S
