example,time_sampling,time_training,time_Z3,result,lastPhase,
0,0,0,0,7.597,N,S
1,215.706,123.612,1125.624,5.893,Y,S
2,592.022,850.684,2418.639,5.55,Y,S
4,2345.412,1012.889,41074.808,7.672,T,T
6,1524.069,2574.166,7601.707,5.923,T,T
7,3984.754,2127.306,7571.518,5.798,T,T
8,18938.316,9985.912,11507.144,6.012,T,T
9,0,0,0,7.142,N,S
10,0,0,0,7.404,N,S
11,0,0,0,7.17,N,S
12,0,0,0,6.846,N,S
13,0,0,0,6.665,N,S
15,2944.023,1286.94,22002.835,5.885,T,T
21,595.523,1124.448,5238.043,5.82,T,T
22,961.006000000002,2718.52799999999,8295.064,5.803,T,T
23,1015.993,2799.668,8301.802,5.799,T,T
24,421.639,972.122,6006.821,6.708,T,T
25,3975.82500000001,2317.249,25491.674,5.763,T,T
26,3112.82800000001,1897.236,7264.519,5.77,T,T
27,9879.93899999996,8517.578,201581.646,5.979,T,T
29,90.567,8.113,67.69,5.735,Y,S
30,100.873,32.899,548.588,5.735,Y,S
31,2421.587,3261.01,9155.876,6.714,T,T
32,5408.23799999998,8373.59000000001,24930.982,5.41,T,T
34,15913.3100000001,12881.509,71273.719,5.451,T,T
35,0,0,0,7.108,N,S
36,51.506,1.531,25.515,5.879,Y,S
38,2966.433,4392.16699999999,53583.872,6.134,T,T
39,0,0,0,9.783,N,S
40,0,0,0,8.095,N,S
42,0,0,0,8.525,N,S
43,0,0,0,7.968,N,S
46,2444.529,2583.81,8127.019,6.081,T,T
47,0,0,0,8.267,N,S
48,0,0,0,7.622,N,S
49,0,0,0,6.962,N,S
50,76.8799999999999,85.203,2470.079,5.941,T,T
51,490.506000000001,834.999,2764.288,5.378,Y,S
52,78.875,1.737,26.973,5.546,Y,S
53,0,0,0,6.99,N,S
55,434.311,98.6340000000001,1626.439,5.922,Y,S
57,352.809,54.278,464.082,5.556,Y,S
58,6.229,1.266,23.276,5.565,Y,S
59,0,0,0,6.794,N,S
60,0,0,0,7.308,N,S
61,145.678,2.719,28.545,5.789,Y,S
62,78.938,226.857,498.143,6.071,T,V
63,0,0,0,7.655,N,S
65,0,0,0,8.647,N,S
66,563.749,709.006,3060.493,5.524,Y,S
67,1646.525,1282.386,5732.526,5.896,Y,S
68,2068.186,1375.908,25672.875,6.015,Y,T
70,0,0,0,7.381,N,S
71,422.659,257.676,7999.789,5.846,T,T
72,641.778,922.097,3499.06,5.484,Y,S
73,1828.672,232.633,1015.158,5.692,Y,S
74,1228.988,1067.092,13245.721,6.568,T,T
75,804.190999999998,2288.869,8480.25699999999,5.868,T,T
78,2519.29399999999,3301.99699999999,41849.733,6.089,T,T
79,0,0,0,6.993,N,S
80,2351.98399999999,3561.178,36137.4340000001,5.698,T,T
81,574.680000000001,1377.696,4244.062,5.588,T,T
82,7373.05400000001,10452.358,51977.739,5.517,T,T
83,479.897,244.282,1094.346,6.197,Y,S
84,735.787999999995,1957.832,8301.65900000001,5.797,T,T
85,2809.618,2640.448,27287.855,5.928,T,T
86,2892.374,3679.77899999999,28917.952,5.497,T,T
87,0,0,0,6.953,N,S
88,2258.949,2290.462,25800.076,5.488,T,T
89,0,0,0,6.863,N,S
90,0,0,0,6.828,N,S
93,767.670000000001,1240.084,7226.431,5.621,T,T
94,1069.507,1333.273,12428.798,5.639,T,T
95,0,0,0,7.102,N,S
96,2698.24200000001,4213.383,52000.181,5.686,T,T
97,591.925999999999,1455.991,5105.643,5.606,T,T
98,4840.23299999999,6543.75299999999,51833.702,5.914,T,T
