example,time_sampling,time_training,time_Z3,result,lastPhase
0,264.191,409.201,1077.262,5.428,Y,S
1,335.848,588.212,2093.663,5.392,T,T
2,274.247,162.526,713.24,6.069,T,T
3,210.802,97.243,880.271999999999,5.934,Y,S
4,185.771,96.145,859.083,5.706,Y,S
5,141.884,125.367,669.116,5.864,T,T
6,157.312,125.936,659.502,5.881,T,T
7,0,0,0,7.093,N,S
8,129.413,80.769,707.093,5.851,Y,S
9,225.724,136.338,1334.045,5.579,Y,S
10,261.231,139.86,819.744,5.543,Y,S
11,0,0,0,6.882,N,S
12,0,0,0,7.109,N,S
13,0,0,0,7.02,N,S
14,0,0,0,6.848,N,S
15,249.593,796.205,1059.618,5.753,T,T
16,247.751,347.794,1071.939,5.549,Y,S
17,462.849,651.809,2121.909,5.459,T,T
18,56.359,82.453,602.903,5.513,Y,S
19,217.226,441.398,1204.626,5.628,Y,S
20,18.673,0.817,13.694,5.611,Y,S
21,432.443,551.623,3390.576,5.945,T,T
22,0,0,0,7.294,N,S
23,224.98,193.83,1081.56,5.568,Y,S
24,0,0,0,7.08,N,S
25,0,0,0,7.068,N,S
26,248.056,265.774,1068.771,5.493,Y,S
27,0,0,0,7.338,N,S
28,832.469000000001,497.123,3469.897,5.813,T,T
29,340.438,247.097,2316.662,5.692,Y,S
30,155.515,110.189,666.037,5.762,T,T
31,147.863,543.033,1209.757,6.602,T,T
32,0,0,0,7.692,N,S
33,0,0,0,0,T,S
34,403.12,316.12,2066.43,6.394,T,T
35,152.127,615.219,1192.746,6.725,T,T
36,0,0,0,7.724,N,S
37,230.347,57.528,776.087,5.599,Y,S
38,1017.866,1151.664,2778.954,5.678,T,T
39,611.563000000001,674.934,2372.596,6.429,T,T
40,548.401000000001,989.034,3276.328,5.496,T,T
41,250.599,787.574,1072.219,5.77,T,T
42,687.998,638.670000000001,3394.797,5.552,T,T
43,749.31,1340.77,2000.99,5.489,T,T
44,181.95,649.712,1026.926,5.774,T,T
45,151.45,54.796,566.423,7.431,Y,S
46,188.128,646.491,1006.585,5.726,T,T
47,0,0,0,7.636,N,S
48,256.087,797.685,1071.389,5.678,T,T
49,0,0,0,8.725,N,S
50,273.541,188.034,920.227,5.495,Y,S
51,302.781,503.932,2120.233,5.433,T,T
52,954.063000000001,878.872,3420.823,5.597,T,T
53,430.809,243.995,2920.674,5.741,T,T
54,40.123,0.884,15.194,6.43,Y,S
55,76.305,23.238,587.241,7.576,Y,S
56,219.932,348.223,1082.057,5.488,Y,S
57,1024.467,512.005,2602.01,5.628,T,T
58,316.859,412.234,2484.783,5.606,T,T
59,249.856,808.041,1048.106,5.69,T,T
60,260.237,376.483,2096.712,6.29,T,T
61,760.938,1249.284,2415.246,5.441,T,T
62,177.82,566.599,1072.908,5.83,T,T
63,182.568,658.024,1010.116,5.768,T,T
64,0,0,0,6.915,N,S
65,246.523,808.569,1060.415,5.775,T,T
66,423.081,350.451,2082.521,6.361,T,T
67,286.15,264.4,1387.616,5.41,Y,S
68,340.387,353.323,1927.057,5.439,Y,S
69,451.318,351.211,2102.179,5.769,Y,S
70,294.34,264.331,2378.151,5.746,Y,S
71,167.643,217.81,571.934,5.535,Y,S
72,248.33,276.364,1161.618,5.4,Y,S
73,173.805,186.379,552.263,5.473,Y,S
74,264.383,140.838,819.323,5.461,Y,S
75,18.809,0.817,13.618,5.563,Y,S
76,310.045,288.562,1957.192,5.747,Y,S
77,466.028,167.314,3417.104,6.624,T,T
78,33.213,0.925,17.703,5.779,Y,S
79,65.252,1.305,17.558,5.77,Y,S
80,24.523,0.928,12.518,5.775,Y,S
81,77.6460000000001,251.456,1596.627,7.223,T,T
82,153.71,537.893,1204.265,6.667,T,T
83,0,0,0,0,T,S
84,0,0,0,7.637,N,S
85,24.194,0.934,12.525,5.708,Y,S
86,21.174,0.898,12.55,5.769,Y,S
87,91.3290000000001,270.016,1189.716,6.55,T,T
88,186.125,657.096,1014.302,5.751,T,T
89,0,0,0,7.708,N,S
90,0,0,0,7.68,N,S
91,250.594,809.345,1063.911,5.751,T,T
