example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,N,S
1,21.085,0.654,8.234,Y,S
2,282.371,137.845,539.233,Y,S
4,564.329,387.245,1182.721,T,T
6,122.112,69.616,155.96,T,T
7,920.551,391.782,3984.41,T,T
8,612.067,205.71,351.329,T,T
9,0,0,0,N,S
10,0,0,0,N,S
11,0,0,0,N,S
12,0,0,0,N,S
13,0,0,0,N,S
15,416.399,93.433,3532.827,Y,S
21,431.663,391.795,1161.855,T,T
22,430.727,553.685,746.539,T,T
23,455.976,572.472,640.332,T,T
24,278.868,328.043,801.731,T,T
25,1380.541,1097.541,1683,T,T
26,1876.833,1347.228,2340.354,T,T
27,229.396,140.084,2498.842,T,T
29,47.413,1.825,18.33,Y,S
30,15.168,0.491,8.829,Y,S
31,1671.03,350.355,197.364,T,V
32,685.063,642.684,820.994,T,T
34,142.267,87.061,388.842,T,V
35,0,0,0,N,S
36,21.188,0.519,6.695,Y,S
38,153.183,91.775,1256.951,T,T
39,0,0,0,N,S
40,0,0,0,N,S
42,0,0,0,N,S
43,0,0,0,N,S
46,892.23,296.263,8437.236,T,S
47,0,0,0,N,S
48,0,0,0,N,S
49,0,0,0,N,S
50,78.804,30.85,604.459,T,T
51,206.931,167.848,426.922,Y,S
52,36.92,1.47,7.63,Y,S
53,0,0,0,N,S
55,34.577,0.579,9.209,Y,S
57,69.968,0.823,8.815,Y,S
58,2.53,0.462,6.551,Y,S
59,0,0,0,N,S
60,0,0,0,N,S
61,71.014,1.02,9.056,Y,S
62,266.839,341.012,955.173,T,T
63,0,0,0,N,S
65,0,0,0,N,S
66,467.862,281.233,835.729,T,T
67,943.284,737.462,908.542,T,T
68,866.688,422.354,1081.567,T,T
70,0,0,0,N,S
71,32.639,9.684,134.723,T,V
72,230.217,152.893,353.637,Y,S
73,348.275,54.876,372.778,Y,S
74,636.888,551.359,938.144,T,T
75,253.428,330.531,996.734,T,T
78,67.55,30.787,3265.052,T,T
79,0,0,0,N,S
80,58.949,27.352,4848.492,T,T
81,458.884,394.822,621.071,T,S
82,193.544,140.191,237.015,T,V
83,56.999,1.395,16.225,Y,S
84,235.248,244.121,814.433,T,T
85,219.741,87.679,156.386,T,V
86,97.787,49.697,1735.131,T,S
87,0,0,0,N,S
88,505.94,360.229,3095.858,T,T
89,0,0,0,N,S
90,0,0,0,N,S
93,176.907,91.644,552.289,T,T
94,29.975,19.537,132.235,T,S
95,0,0,0,N,S
96,20.771,19.221,158.837,T,S
97,296.911,147.791,608.197,T,T
98,35.254,15.916,126.928,T,V
99,954.416,695.864,10293.256,T,T
100,187.909,131.374,3053.847,T,T
101,124.192,12.045,152.549,T,T
102,167.452,100.747,5286.647,T,T
103,159.795,110.729,916.961,T,T
104,176.958,100.258,765.317,T,T
105,49.744,49.025,147.558,T,T
106,17.226,15.756,157.312,T,T
107,218.185,139.787,811.499,T,T
108,188.396,81.38,765.067,T,T
109,184.963,111.034,588.427,T,T
112,211.851,313.436,726.431,T,T
113,0,0,0,N,S
115,21.031,0.523,6.714,Y,S
116,237.918,156.434,3040.758,T,T
117,0,0,0,N,S
119,0,0,0,N,S
120,0,0,0,N,S
121,656.935,435.908,4337.747,T,T
122,0,0,0,N,S
123,0,0,0,N,S
125,0,0,0,N,S
126,231.665,186.941,2723.367,Y,S
127,34.065,2.492,8.46,Y,S
129,911.354,654.721,771.757,T,T
131,0,0,0,N,S
132,70.264,1.911,20.034,Y,S
133,80.728,1.711,34.302,Y,S
136,814.719,493.414,5894.841,T,T
140,0,0,0,N,S
144,1369.718,609.036,634.64,Y,S
146,1349.746,27.683,1617.921,T,T
147,2882.53,43.083,2737.494,T,T
148,9.483,0.486,12.741,Y,S
149,3.544,0.481,10.105,Y,S
150,12.198,0.784,15.248,Y,S
151,13.974,0.571,12.895,Y,S
152,17.496,7.379,228.814,T,S
153,108.353,23.744,260.442,T,V
154,57.796,60.399,153.714,T,T
155,199.259,153.529,977.694,T,T
156,226.321,141.882,440.448,Y,S
157,29.193,16.77,126.226,Y,S
158,6.735,0.483,13.617,Y,S
159,3.777,0.467,8.442,Y,S
160,5.924,0.471,14.259,Y,S
161,735.458,532.502,1421.418,T,T
162,17.605,0.557,15.586,Y,S
163,8.207,0.473,9.393,Y,S
164,23.782,2.655,34.896,Y,S
165,11.398,0.489,7.559,Y,S
166,14.289,1.071,27.99,Y,S
167,3.588,0.479,12.984,Y,S
168,36.805,0.535,8.295,Y,S
169,437.983,737.523,744.817,T,T
170,149.225,155.592,962.183,T,T
171,24.647,0.548,8.149,Y,S
