example,time_sampling,time_training,time_Z3,result,lastPhase
0,257.362,163.274,1098.2,Y,S
1,291.789,258.321,1977.84,T,T
2,424.195,103.205,6563.281,T,S
3,30.038,1.244,18.327,Y,S
4,29.985,1.099,17.748,Y,S
5,443.507,119.111,3419.291,T,T
6,652.656,261.637,1276.494,T,T
7,0,0,0,N,S
8,31.53,5.396,63.701,Y,S
9,32.104,5.391,62.825,Y,S
10,47.63,0.678,8.603,Y,S
11,0,0,0,N,S
12,0,0,0,N,S
13,0,0,0,N,S
14,0,0,0,N,S
15,0,0,0,N,S
16,94.787,48.506,190.038,T,T
17,373.053,472.319,646.748,T,T
18,211.062,90.488,739.501,Y,S
19,365.905,317.991,1010.087,T,T
20,9.714,2.757,31.412,Y,S
21,50.126,54.729,153.725,T,T
22,19.348,1.247,23.804,Y,S
23,77.056,24.14,157.184,T,T
24,0,0,0,N,S
25,219.018,130.103,561.911,Y,S
26,0,0,0,N,S
27,0,0,0,N,S
28,440.368,229.323,1335.449,T,T
29,0,0,0,N,S
30,277.553,127.942,880.739,Y,S
31,70.998,29.193,303.506,T,V
32,195.32,70.802,1823.014,Y,S
33,65.893,27.039,194.365,T,T
34,194.394,88.404,3625.451,T,V
35,443.176,787.991,923.88,T,T
36,0,0,0,N,S
37,0,0,0,T,S
38,662.452,625.489,987.879,T,T
39,415.014,447.416,4395.547,Y,S
40,0,0,0,N,S
41,880.332,505.218,3653.499,T,T
42,772.667,507.13,13349.418,T,T
43,240.564,225.443,747.719,T,T
44,692.503,546.16,860.64,T,T
45,243.008,336.493,863.765,T,T
46,0,0,0,N,S
47,400.321,727.612,809.288,T,T
48,0,0,0,N,S
49,108.869,15.733,6908.463,T,S
50,53.491,3.144,52.38,Y,S
51,120.914,92.195,540.762,T,T
52,137.036,47.999,2539.76,T,V
53,426.812,448.546,757.944,T,T
54,470.17,154.597,6566.063,T,S
55,42.793,0.861,8.693,Y,S
56,498.33,228.814,4133.675,T,S
57,635.549,554.956,1041.237,T,T
58,35.235,0.572,9.89,Y,S
59,36.915,0.554,8.733,Y,S
60,14.18,0.504,9.738,Y,S
61,242.959,144.322,1870.96,Y,S
62,816.715,365.092,818.903,T,T
63,28.255,20.225,132.819,T,V
64,231.823,243.653,770.176,T,T
65,49.63,98.518,131.713,T,T
66,415.97,315.495,735.09,T,T
67,837.004,597.727,2217.257,T,T
68,272.286,249.815,20368.619,T,T
69,219.02,358.606,661.306,T,T
70,0,0,0,N,S
71,0,0,0,T,S
72,765.187,598.208,12514.424,T,T
73,41.336,14.178,61.404,Y,S
74,41.359,14.382,61.564,Y,S
75,52.357,6.145,35.171,Y,S
76,305.99,198.525,7275.12,T,S
77,37.747,1.984,15.658,Y,S
78,42.218,14.201,61.299,Y,S
79,36.884,0.575,9.656,Y,S
80,38.051,0.6,7.81,Y,S
81,47.384,0.679,8.826,Y,S
82,17.433,0.526,8.02,Y,S
83,47.992,33.779,169.516,T,T
84,437.183,132.452,3785.646,T,S
85,69.063,0.741,9.757,Y,S
86,20.837,0.558,6.517,Y,S
87,215.516,138.845,920.704,T,T
88,441.018,809.519,693.226,T,T
89,0,0,0,T,S
90,0,0,0,N,S
91,21.42,0.557,6.79,Y,S
92,18.647,0.554,6.811,Y,S
93,267.272,320.178,876.218,T,T
94,237.655,328.804,706.437,T,T
95,0,0,0,N,S
96,0,0,0,N,S
97,469.328,682.831,921.038,T,T
